file,positive_slices
test/2014/TOR_140427_210159_KDVN_504274_S0.nc,1 2 3
test/2014/TOR_140427_210159_KDVN_504339_S0.nc,3
test/2014/TOR_140427_210620_KDVN_504339_Y1.nc,2 3
test/2014/TOR_140427_213932_KUEX_510394_F8.nc,3
test/2014/TOR_140427_221633_KOAX_510391_G7.nc,3
test/2014/TOR_140427_223211_KSRX_505205_B4.nc,3
test/2014/TOR_140427_223843_KEAX_506191_Y2.nc,3
test/2014/TOR_140427_224322_KEAX_506191_Y2.nc,2 3
test/2014/TOR_140427_224801_KEAX_504831_Y2.nc,3
test/2014/TOR_140427_224801_KEAX_506191_Y2.nc,1 2 3
test/2014/TOR_140427_225240_KEAX_504831_H8.nc,2 3
test/2014/TOR_140427_225721_KEAX_504831_H8.nc,1 2 3
test/2014/TOR_140427_230200_KEAX_504831_H8.nc,0 1 2 3
test/2014/TOR_140427_230639_KEAX_504831_H8.nc,0 1 2 3
test/2014/TOR_140428_002917_KRTX_508483_A5.nc,3
test/2014/TOR_140428_114431_KNQA_514656_C6.nc,3
test/2014/TOR_140428_114912_KNQA_514656_K1.nc,2 3
test/2014/TOR_140428_173645_KOHX_512199_N0.nc,3
test/2014/TOR_140428_185542_KDGX_507817_R7.nc,3
test/2014/TOR_140428_195100_KDGX_508149_L9.nc,3
test/2014/TOR_140428_195535_KDGX_508149_L9.nc,2 3
test/2014/TOR_140428_205050_KDGX_508155_G9.nc,3
test/2014/TOR_140428_205526_KDGX_508155_G9.nc,2 3
test/2014/TOR_140428_210002_KDGX_508155_M8.nc,1 2 3
test/2014/TOR_140428_210002_KDGX_508156_M8.nc,3
test/2014/TOR_140428_210438_KDGX_508157_M8.nc,3
test/2014/TOR_140428_210438_KDGX_508158_M8.nc,3
test/2014/TOR_140428_210915_KDGX_508158_M8.nc,2 3
test/2014/TOR_140428_211351_KDGX_508158_M8.nc,1 2 3
test/2014/TOR_140428_211827_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_212304_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_212740_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_213217_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_213654_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_214130_KDGX_508158_L1.nc,0 1 2 3
test/2014/TOR_140428_214605_KDGX_508158_M8.nc,0 1 2 3
test/2014/TOR_140428_214709_KHTX_505288_L5.nc,3
test/2014/TOR_140428_215151_KHTX_505288_L5.nc,2 3
test/2014/TOR_140428_215517_KDGX_508268_D4.nc,3
test/2014/TOR_140428_215633_KHTX_505288_L5.nc,1 2 3
test/2014/TOR_140428_215953_KDGX_508268_D4.nc,2 3
test/2014/TOR_140428_220116_KHTX_505288_L5.nc,0 1 2 3
test/2014/TOR_140428_220429_KDGX_508268_D4.nc,1 2 3
test/2014/TOR_140428_220558_KHTX_505288_L5.nc,0 1 2 3
test/2014/TOR_140428_221039_KHTX_505288_G8.nc,0 1 2 3
test/2014/TOR_140428_221112_KPAH_515614_M3.nc,3
test/2014/TOR_140428_221529_KPAH_515614_M3.nc,2 3
test/2014/TOR_140428_221818_KDGX_508280_D4.nc,3
test/2014/TOR_140428_221945_KPAH_515614_M3.nc,1 2 3
test/2014/TOR_140428_222254_KDGX_508280_D4.nc,2 3
test/2014/TOR_140428_222401_KPAH_508184_M3.nc,3
test/2014/TOR_140428_222401_KPAH_515614_M3.nc,0 1 2 3
test/2014/TOR_140428_222730_KDGX_508280_D4.nc,1 2 3
test/2014/TOR_140428_223206_KDGX_508280_D4.nc,0 1 2 3
test/2014/TOR_140428_223643_KDGX_508280_D4.nc,0 1 2 3
test/2014/TOR_140428_224118_KDGX_508280_D4.nc,0 1 2 3
test/2014/TOR_140428_224523_KPAH_508188_M3.nc,3
test/2014/TOR_140428_224554_KDGX_508288_Z1.nc,3
test/2014/TOR_140428_224822_KHTX_505291_L5.nc,3
test/2014/TOR_140428_225030_KDGX_508288_Z1.nc,2 3
test/2014/TOR_140428_225303_KHTX_505291_L5.nc,2 3
test/2014/TOR_140428_225507_KDGX_508288_Y8.nc,1 2 3
test/2014/TOR_140428_225746_KHTX_505291_L5.nc,1 2 3
test/2014/TOR_140428_225848_KFFC_511201_S0.nc,3
test/2014/TOR_140428_225942_KDGX_508288_Z1.nc,1 2 3
test/2014/TOR_140428_225942_KDGX_508375_D4.nc,3
test/2014/TOR_140428_230228_KHTX_505291_L5.nc,0 1 2 3
test/2014/TOR_140428_230328_KFFC_511201_G0.nc,2 3
test/2014/TOR_140428_230418_KDGX_508288_Z1.nc,0 1 2 3
test/2014/TOR_140428_230418_KDGX_508375_D4.nc,2 3
test/2014/TOR_140428_230710_KHTX_505227_L5.nc,3
test/2014/TOR_140428_230809_KFFC_511201_Y0.nc,1 2 3
test/2014/TOR_140428_230809_KFFC_511202_Y0.nc,3
test/2014/TOR_140428_231153_KHTX_505227_L5.nc,2 3
test/2014/TOR_140428_231329_KDGX_508376_D4.nc,3
test/2014/TOR_140428_231634_KHTX_505227_L5.nc,1 2 3
test/2014/TOR_140428_232116_KHTX_505227_L5.nc,0 1 2 3
test/2014/TOR_140428_232716_KDGX_508387_Z1.nc,3
test/2014/TOR_140428_232716_KDGX_508388_Z1.nc,3
test/2014/TOR_140428_234042_KDGX_508388_T0.nc,0 1 2 3
test/2014/TOR_140428_234518_KDGX_508388_J0.nc,0 1 2 3
test/2014/TOR_140428_234954_KDGX_508388_J0.nc,0 1 2 3
test/2014/TOR_140428_235431_KDGX_508388_J0.nc,0 1 2 3
test/2014/TOR_140429_000047_KDGX_508388_J0.nc,0 1 2 3
test/2014/TOR_140429_000524_KDGX_508388_J0.nc,0 1 2 3
test/2014/TOR_140429_001001_KDGX_508388_C2.nc,0 1 2 3
test/2014/TOR_140429_001001_KDGX_516089_C0.nc,2 3
test/2014/TOR_140429_001436_KDGX_508388_C2.nc,0 1 2 3
test/2014/TOR_140429_001436_KDGX_508389_C2.nc,3
test/2014/TOR_140429_001436_KDGX_516089_C0.nc,2 3
test/2014/TOR_140429_001912_KDGX_516089_C0.nc,1 2 3
test/2014/TOR_140429_003739_KDGX_516099_Y2.nc,3
test/2014/TOR_140429_004426_KDGX_516099_Y2.nc,1 2 3
test/2014/TOR_140429_005338_KDGX_516102_Y2.nc,3
test/2014/TOR_140429_005814_KDGX_516102_Y2.nc,2 3
test/2014/TOR_140429_010250_KDGX_516102_Y2.nc,1 2 3
test/2014/TOR_140429_010726_KDGX_516102_S4.nc,0 1 2 3
test/2014/TOR_140429_010937_KHTX_505228_O5.nc,3
test/2014/TOR_140429_011202_KDGX_516115_H5.nc,3
test/2014/TOR_140429_011419_KHTX_505228_O5.nc,2 3
test/2014/TOR_140429_011638_KDGX_516115_H5.nc,2 3
test/2014/TOR_140429_011902_KHTX_505228_O5.nc,1 2 3
test/2014/TOR_140429_011902_KHTX_505303_U2.nc,3
test/2014/TOR_140429_011902_KHTX_505304_U2.nc,3
test/2014/TOR_140429_012114_KDGX_516115_H5.nc,1 2 3
test/2014/TOR_140429_012344_KHTX_505228_O5.nc,0 1 2 3
test/2014/TOR_140429_012344_KHTX_505304_U2.nc,2 3
test/2014/TOR_140429_012550_KDGX_516115_H5.nc,0 1 2 3
test/2014/TOR_140429_012826_KHTX_505229_O5.nc,3
test/2014/TOR_140429_012826_KHTX_505304_U2.nc,1 2 3
test/2014/TOR_140429_012826_KHTX_505311_U2.nc,3
test/2014/TOR_140429_013026_KDGX_516115_S4.nc,0 1 2 3
test/2014/TOR_140429_013309_KHTX_505229_O5.nc,2 3
test/2014/TOR_140429_013502_KDGX_516124_S4.nc,3
test/2014/TOR_140429_013938_KDGX_516124_Q5.nc,2 3
test/2014/TOR_140429_013938_KDGX_516125_Q5.nc,3
test/2014/TOR_140429_013947_KBMX_508054_K7.nc,3
test/2014/TOR_140429_014415_KDGX_516125_Q5.nc,2 3
test/2014/TOR_140429_014850_KDGX_516125_Q5.nc,1 2 3
test/2014/TOR_140429_015326_KDGX_516125_S7.nc,0 1 2 3
test/2014/TOR_140429_023013_KDGX_522921_M1.nc,3
test/2014/TOR_140429_023449_KDGX_522921_I2.nc,2 3
test/2014/TOR_140429_023925_KDGX_516624_C7.nc,3
test/2014/TOR_140429_023925_KDGX_522921_W0.nc,1 2 3
test/2014/TOR_140429_024053_KBMX_505320_K7.nc,3
test/2014/TOR_140429_024401_KDGX_516624_C7.nc,2 3
test/2014/TOR_140429_024534_KBMX_505320_K7.nc,2 3
test/2014/TOR_140429_024838_KDGX_516624_C7.nc,1 2 3
test/2014/TOR_140429_025016_KBMX_505320_K7.nc,1 2 3
test/2014/TOR_140429_025314_KDGX_514046_C7.nc,3
test/2014/TOR_140429_025314_KDGX_516624_C7.nc,0 1 2 3
test/2014/TOR_140429_025457_KBMX_505320_K7.nc,0 1 2 3
test/2014/TOR_140429_025939_KBMX_522933_K6.nc,3
test/2014/TOR_140429_025939_KBMX_522940_E2.nc,3
test/2014/TOR_140429_030421_KBMX_522933_K6.nc,2 3
test/2014/TOR_140429_030421_KBMX_522940_E2.nc,2 3
test/2014/TOR_140429_030447_KHTX_506611_R1.nc,3
test/2014/TOR_140429_030447_KHTX_511203_R1.nc,3
test/2014/TOR_140429_030903_KBMX_522933_K6.nc,1 2 3
test/2014/TOR_140429_030903_KBMX_522940_E2.nc,1 2 3
test/2014/TOR_140429_030929_KHTX_506611_R1.nc,2 3
test/2014/TOR_140429_030929_KHTX_511203_R1.nc,2 3
test/2014/TOR_140429_031031_KMOB_514053_G6.nc,3
test/2014/TOR_140429_031348_KBMX_522933_K6.nc,0 1 2 3
test/2014/TOR_140429_031348_KBMX_522940_E2.nc,0 1 2 3
test/2014/TOR_140429_031348_KBMX_522952_B7.nc,3
test/2014/TOR_140429_031413_KHTX_506611_R1.nc,1 2 3
test/2014/TOR_140429_031508_KMOB_514053_N1.nc,2 3
test/2014/TOR_140429_031830_KBMX_522933_K6.nc,0 1 2 3
test/2014/TOR_140429_031830_KBMX_522948_E2.nc,3
test/2014/TOR_140429_031830_KBMX_522952_B7.nc,2 3
test/2014/TOR_140429_031930_KMOB_514053_N1.nc,1 2 3
test/2014/TOR_140429_032312_KBMX_522952_B7.nc,1 2 3
test/2014/TOR_140429_035605_KBMX_522984_K6.nc,3
test/2014/TOR_140429_040047_KBMX_522984_K6.nc,2 3
test/2014/TOR_140429_040047_KBMX_522988_K6.nc,3
test/2014/TOR_140429_040047_KBMX_523004_K6.nc,3
test/2014/TOR_140429_040529_KBMX_523004_K6.nc,2 3
test/2014/TOR_140429_041011_KBMX_523004_K6.nc,1 2 3
test/2014/TOR_140429_041453_KBMX_523004_K6.nc,0 1 2 3
test/2014/TOR_140429_041453_KBMX_523012_K6.nc,3
test/2014/TOR_140429_041935_KBMX_523004_K6.nc,0 1 2 3
test/2014/TOR_140429_041935_KBMX_523012_K6.nc,2 3
test/2014/TOR_140429_042416_KBMX_523012_K6.nc,1 2 3
test/2014/TOR_140429_042416_KBMX_523223_B7.nc,2 3
test/2014/TOR_140429_043111_KBMX_523223_B7.nc,1 2 3
test/2014/TOR_140429_043553_KBMX_523223_B7.nc,0 1 2 3
test/2014/TOR_140429_051419_KMOB_513179_T5.nc,3
test/2014/TOR_140429_052256_KBMX_523225_K6.nc,3
test/2014/TOR_140429_052256_KBMX_523235_K6.nc,3
test/2014/TOR_140429_052739_KBMX_523235_K6.nc,2 3
test/2014/TOR_140429_053045_KHTX_523242_W3.nc,3
test/2014/TOR_140429_053221_KBMX_523235_K6.nc,1 2 3
test/2014/TOR_140429_053529_KHTX_505326_W3.nc,3
test/2014/TOR_140429_053529_KHTX_523242_W3.nc,2 3
test/2014/TOR_140429_053703_KBMX_523235_K6.nc,0 1 2 3
test/2014/TOR_140429_054011_KHTX_505326_W3.nc,2 3
test/2014/TOR_140429_054145_KBMX_523235_K6.nc,0 1 2 3
test/2014/TOR_140429_054454_KHTX_505326_W3.nc,1 2 3
test/2014/TOR_140429_055417_KHTX_505668_W3.nc,3
test/2014/TOR_140429_055900_KHTX_505668_W3.nc,2 3
test/2014/TOR_140429_060343_KHTX_505337_W3.nc,3
test/2014/TOR_140429_060826_KHTX_505337_W3.nc,2 3
test/2014/TOR_140429_061308_KHTX_505337_W3.nc,1 2 3
test/2014/TOR_140429_061750_KHTX_505337_W3.nc,0 1 2 3
test/2014/TOR_140429_061750_KHTX_523244_Y3.nc,3
test/2014/TOR_140429_062232_KHTX_505337_W3.nc,0 1 2 3
test/2014/TOR_140429_062232_KHTX_523244_Y3.nc,2 3
test/2014/TOR_140429_062715_KHTX_505337_W3.nc,0 1 2 3
test/2014/TOR_140429_062715_KHTX_505653_Y3.nc,3
test/2014/TOR_140429_062715_KHTX_523244_M1.nc,1 2 3
test/2014/TOR_140429_063157_KHTX_505653_Y3.nc,2 3
test/2014/TOR_140429_063639_KHTX_505654_W3.nc,3
test/2014/TOR_140429_064122_KHTX_505654_W3.nc,2 3
test/2014/TOR_140429_064605_KHTX_505654_W3.nc,1 2 3
test/2014/TOR_140429_065049_KHTX_505654_W3.nc,0 1 2 3
test/2014/TOR_140429_072349_KHTX_506416_F6.nc,3
test/2014/TOR_140429_082303_KMXX_523245_W6.nc,3
test/2014/TOR_140429_082738_KMXX_523245_K3.nc,2 3
test/2014/TOR_140429_085518_KMXX_523250_W7.nc,3
test/2014/TOR_140429_085518_KMXX_523251_W7.nc,3
test/2014/TOR_140429_085954_KMXX_523251_W7.nc,2 3
test/2014/TOR_140429_090431_KMXX_523251_W7.nc,1 2 3
test/2014/TOR_140429_090906_KMXX_523251_D2.nc,0 1 2 3
test/2014/TOR_140429_195202_KRAX_513036_A2.nc,3
test/2014/TOR_140429_195643_KRAX_513036_A2.nc,2 3
test/2014/TOR_140429_221105_KRAX_513037_E1.nc,2 3
test/2014/TOR_140429_221545_KRAX_513037_E1.nc,1 2 3
test/2014/TOR_140429_222026_KRAX_513037_E1.nc,1 2 3
test/2014/TOR_140430_000812_KRAX_513041_Q4.nc,3
test/2014/TOR_140430_001255_KRAX_513041_Q4.nc,2 3
test/2014/TOR_140518_234918_KUDX_511791_X0.nc,3
test/2014/TOR_140518_235356_KUDX_511791_X0.nc,2 3
test/2014/TOR_140518_235834_KUDX_511791_X0.nc,1 2 3
test/2014/TOR_140519_003442_KCYS_520455_K0.nc,3
test/2014/TOR_140519_003913_KCYS_520455_K0.nc,2 3
test/2014/TOR_140519_011808_KCYS_521482_K0.nc,3
test/2014/TOR_140519_012240_KCYS_521482_K0.nc,2 3
test/2014/TOR_140519_012724_KCYS_521482_K0.nc,1 2 3
test/2014/TOR_140606_020618_KPUX_510439_B3.nc,3
test/2014/TOR_140606_193553_KLZK_510878_K7.nc,3
test/2014/TOR_140606_194031_KLZK_510878_M1.nc,2 3
test/2014/TOR_140606_195222_KPUX_510612_J0.nc,3
test/2014/TOR_140606_195419_KCYS_519123_L4.nc,3
test/2014/TOR_140606_195419_KCYS_526223_Q4.nc,3
test/2014/TOR_140606_195703_KPUX_510612_J0.nc,2 3
test/2014/TOR_140606_195910_KCYS_519123_L4.nc,2 3
test/2014/TOR_140606_195910_KCYS_526223_C5.nc,2 3
test/2014/TOR_140606_195940_KNQA_510886_F6.nc,3
test/2014/TOR_140606_200138_KPUX_510612_J0.nc,1 2 3
test/2014/TOR_140606_200611_KPUX_510612_J0.nc,0 1 2 3
test/2014/TOR_140606_201045_KPUX_510612_J0.nc,0 1 2 3
test/2014/TOR_140606_201513_KPUX_510612_J0.nc,0 1 2 3
test/2014/TOR_140606_201916_KFTG_519125_G4.nc,3
test/2014/TOR_140606_201954_KPUX_510612_J0.nc,0 1 2 3
test/2014/TOR_140606_202435_KPUX_510612_J0.nc,0 1 2 3
test/2014/TOR_140606_202445_KFTG_519125_G4.nc,2 3
test/2014/TOR_140606_202916_KPUX_510612_O5.nc,0 1 2 3
test/2014/TOR_140606_203013_KFTG_519125_G4.nc,1 2 3
test/2014/TOR_140606_203542_KFTG_519125_G4.nc,0 1 2 3
test/2014/TOR_140606_204354_KPUX_530172_O5.nc,3
test/2014/TOR_140606_204916_KPUX_530172_O5.nc,2 3
test/2014/TOR_140606_234849_KDDC_532844_L2.nc,3
test/2014/TOR_140606_235812_KDDC_532845_L2.nc,3
test/2014/TOR_140606_235812_KDDC_532846_L2.nc,3
test/2014/TOR_140607_000252_KDDC_532846_N1.nc,2 3
test/2014/TOR_140607_001521_KAMA_527749_J5.nc,3
test/2014/TOR_140607_002000_KAMA_527749_J5.nc,2 3
test/2014/TOR_140607_004809_KCLX_510850_B2.nc,2 3
test/2014/TOR_140607_005239_KAMA_527750_D6.nc,3
test/2014/TOR_140607_005718_KAMA_527750_D6.nc,2 3
test/2014/TOR_140607_143343_KAMA_511717_T0.nc,3
test/2014/TOR_140607_193621_KLSX_525681_J9.nc,3
test/2014/TOR_140607_194856_KPAH_520103_X0.nc,3
test/2014/TOR_140607_195333_KPAH_520103_X0.nc,2 3
test/2014/TOR_140607_195809_KPAH_520102_X0.nc,3
test/2014/TOR_140607_195809_KPAH_520103_X0.nc,1 2 3
test/2014/TOR_140607_200245_KPAH_520102_X0.nc,2 3
test/2014/TOR_140607_200722_KPAH_520102_B2.nc,1 2 3
test/2014/TOR_140607_201158_KPAH_520102_X0.nc,0 1 2 3
test/2014/TOR_140607_201158_KPAH_524636_X0.nc,3
test/2014/TOR_140607_201634_KPAH_524636_X0.nc,2 3
test/2014/TOR_140607_202111_KPAH_524636_X0.nc,1 2 3
test/2014/TOR_140607_202111_KPAH_524640_X0.nc,3
test/2014/TOR_140607_202547_KPAH_524640_X0.nc,2 3
test/2014/TOR_140607_203023_KPAH_524640_X0.nc,1 2 3
test/2014/TOR_140607_203459_KPAH_524640_X0.nc,1 2 3
test/2014/TOR_140607_203936_KPAH_524640_X0.nc,0 1 2 3
test/2014/TOR_140607_204413_KPAH_524640_X0.nc,0 1 2 3
test/2014/TOR_140607_205846_KLSX_525683_N4.nc,2 3
test/2014/TOR_140607_210303_KLSX_525683_N4.nc,1 2 3
test/2014/TOR_140607_211517_KLSX_525706_N4.nc,3
test/2014/TOR_140607_211916_KLSX_525706_N4.nc,2 3
test/2014/TOR_140607_212329_KLSX_525706_N4.nc,1 2 3
test/2014/TOR_140608_055921_KFFC_523155_X5.nc,3
test/2014/TOR_140608_060400_KFFC_523155_H2.nc,2 3
test/2014/TOR_140608_185924_KFTG_512684_E1.nc,3
test/2014/TOR_140608_190207_KCYS_526236_C4.nc,2 3
test/2014/TOR_140608_223928_KPUX_511952_L1.nc,1 2 3
test/2014/TOR_140608_224400_KPUX_511952_L1.nc,1 2 3
test/2014/TOR_140626_192011_KHGX_528936_Y2.nc,3
test/2014/TOR_140626_192520_KHGX_528936_Y2.nc,2 3
test/2014/TOR_140627_160705_KHGX_528939_U4.nc,3
test/2014/TOR_140627_161159_KHGX_528939_A6.nc,2 3
test/2014/TOR_140627_162147_KHGX_528940_D3.nc,3
test/2014/TOR_140627_162653_KHGX_528940_D3.nc,2 3
test/2014/TOR_140627_184409_KLCH_515239_D5.nc,3
test/2014/TOR_140627_184851_KLCH_515239_D5.nc,2 3
test/2014/TOR_140627_185333_KLCH_515239_D5.nc,1 2 3
test/2014/TOR_140627_185816_KLCH_515239_D5.nc,0 1 2 3
test/2014/TOR_140627_190257_KLCH_515239_D5.nc,0 1 2 3
test/2014/TOR_140627_190739_KLCH_515239_D5.nc,0 1 2 3
test/2014/TOR_140627_191222_KLCH_515239_D5.nc,0 1 2 3
test/2014/TOR_140627_191704_KLCH_515239_W3.nc,0 1 2 3
test/2014/TOR_140627_192146_KLCH_515239_G1.nc,0 1 2 3
test/2014/TOR_140627_192628_KLCH_515239_G1.nc,0 1 2 3
test/2014/TOR_140627_193110_KLCH_515239_G1.nc,0 1 2 3
test/2014/TOR_140627_193443_KTBW_515640_G4.nc,3
test/2014/TOR_140627_193552_KLCH_515239_G1.nc,0 1 2 3
test/2014/TOR_140627_193905_KTBW_515640_G4.nc,2 3
test/2014/TOR_140627_194034_KLCH_515239_W3.nc,0 1 2 3
test/2014/TOR_140627_194516_KLCH_515239_W3.nc,0 1 2 3
test/2014/TOR_140627_194958_KLCH_515239_W3.nc,0 1 2 3
test/2014/TOR_140627_195439_KLCH_515239_W3.nc,0 1 2 3
test/2014/TOR_140627_200135_KARX_517238_H9.nc,3
test/2014/TOR_140627_200621_KARX_517238_H9.nc,2 3
test/2014/TOR_140627_201639_KARX_517238_H9.nc,0 1 2 3
test/2014/TOR_140627_201922_KPUX_516086_A0.nc,3
test/2014/TOR_140627_202431_KPUX_516086_A0.nc,2 3
test/2014/TOR_140627_224142_KGLD_530642_U8.nc,2 3
test/2014/TOR_140627_224142_KGLD_530644_U8.nc,3
test/2014/TOR_140628_192418_KHGX_528941_A9.nc,3
test/2014/TOR_140628_192947_KHGX_528941_A9.nc,2 3
test/2014/TOR_140628_202437_KINX_515635_H4.nc,2 3
test/2014/TOR_140825_233915_KPUX_538907_Q7.nc,3
test/2014/TOR_140825_234437_KPUX_538907_Q7.nc,2 3
test/2014/TOR_141006_060340_KSRX_546447_D2.nc,2 3
test/2014/TOR_141006_230411_KOHX_545840_N6.nc,2 3
test/2014/TOR_141006_231426_KOHX_538978_N6.nc,3
test/2014/TOR_141006_234057_KHTX_544825_N2.nc,3
test/2014/TOR_141223_191922_KLIX_549156_G5.nc,3
test/2014/TOR_141223_192423_KLIX_549156_G5.nc,2 3
test/2014/TOR_141223_192923_KLIX_549156_G0.nc,1 2 3
test/2014/TOR_141223_201823_KLIX_552175_G5.nc,3
test/2014/TOR_141223_202323_KLIX_552175_G5.nc,2 3
test/2014/TOR_141223_202816_KLIX_552175_G5.nc,1 2 3
test/2014/TOR_141223_203317_KLIX_552175_G5.nc,0 1 2 3
test/2014/TOR_141223_204705_KDGX_552505_Y8.nc,3
test/2014/TOR_141223_212421_KDGX_552705_G4.nc,2 3
test/2014/TOR_141223_222917_KDGX_552506_Y8.nc,2 3
test/2014/TOR_141224_153016_KLTX_553342_M1.nc,3
test/2014/TOR_141224_221751_KILN_546759_L1.nc,3
test/2015/TOR_150407_192038_KVWX_566993_G4.nc,3
test/2015/TOR_150407_192547_KVWX_566993_G4.nc,2 3
